Group ID,Filename,Folder,Size (KB),Dimensions,Match %
40,v01_c0101e0616_top_m.png,C:\Users\kartoffels\PycharmProjects\kartoffels-terrible-image-tools\6-3_RGB\6-3_m\equipment\e0616\texture,100,256 x 512,98

40,v01_c0101e0616_top_m.png,C:\Users\kartoffels\PycharmProjects\kartoffels-terrible-image-tools\7-0_RGB\7-0_m\equipment\e0616\texture,121,256 x 512,98

41,v01_c0101e0621_dwn_m.png,C:\Users\kartoffels\PycharmProjects\kartoffels-terrible-image-tools\6-3_RGB\6-3_m\equipment\e0621\texture,47,256 x 256,98

41,v01_c0101e0621_dwn_m.png,C:\Users\kartoffels\PycharmProjects\kartoffels-terrible-image-tools\7-0_RGB\7-0_m\equipment\e0621\texture,47,256 x 256,98

42,v01_c0101e0655_met_m.png,C:\Users\kartoffels\PycharmProjects\kartoffels-terrible-image-tools\6-3_RGB\6-3_m\equipment\e0655\texture,32,256 x 256,98

42,v01_c0101e0655_met_m.png,C:\Users\kartoffels\PycharmProjects\kartoffels-terrible-image-tools\7-0_RGB\7-0_m\equipment\e0655\texture,35,256 x 256,98

43,v01_c0101e0684_top_m.png,C:\Users\kartoffels\PycharmProjects\kartoffels-terrible-image-tools\6-3_RGB\6-3_m\equipment\e0684\texture,114,256 x 512,98

43,v01_c0101e0684_top_m.png,C:\Users\kartoffels\PycharmProjects\kartoffels-terrible-image-tools\7-0_RGB\7-0_m\equipment\e0684\texture,116,256 x 512,98

44,v01_c0101e0687_top_m.png,C:\Users\kartoffels\PycharmProjects\kartoffels-terrible-image-tools\6-3_RGB\6-3_m\equipment\e0687\texture,86,256 x 512,98

44,v01_c0101e0687_top_m.png,C:\Users\kartoffels\PycharmProjects\kartoffels-terrible-image-tools\7-0_RGB\7-0_m\equipment\e0687\texture,109,256 x 512,98

45,v01_c0101e6026_top_m.png,C:\Users\kartoffels\PycharmProjects\kartoffels-terrible-image-tools\6-3_RGB\6-3_m\equipment\e6026\texture,105,256 x 512,98

45,v01_c0101e6026_top_m.png,C:\Users\kartoffels\PycharmProjects\kartoffels-terrible-image-tools\7-0_RGB\7-0_m\equipment\e6026\texture,110,256 x 512,98

46,v01_c0101e6031_met_m.png,C:\Users\kartoffels\PycharmProjects\kartoffels-terrible-image-tools\6-3_RGB\6-3_m\equipment\e6031\texture,38,256 x 256,98

46,v01_c0101e6031_met_m.png,C:\Users\kartoffels\PycharmProjects\kartoffels-terrible-image-tools\7-0_RGB\7-0_m\equipment\e6031\texture,38,256 x 256,98

47,v01_c0101e6072_sho_m.png,C:\Users\kartoffels\PycharmProjects\kartoffels-terrible-image-tools\6-3_RGB\6-3_m\equipment\e6072\texture,11,256 x 256,98

47,v01_c0101e6072_sho_m.png,C:\Users\kartoffels\PycharmProjects\kartoffels-terrible-image-tools\7-0_RGB\7-0_m\equipment\e6072\texture,12,256 x 256,98

48,v01_c0101e6083_met_m.png,C:\Users\kartoffels\PycharmProjects\kartoffels-terrible-image-tools\6-3_RGB\6-3_m\equipment\e6083\texture,36,256 x 256,98

